"Step","GCN_features-16_layers-2_lr-0.0001 - test_accuracy","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.001 - test_accuracy","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-2_lr-0.01 - test_accuracy","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.0001 - test_accuracy","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.001 - test_accuracy","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-1_lr-0.01 - test_accuracy","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.0001 - test_accuracy","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.001 - test_accuracy","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GCN_features-16_layers-0_lr-0.01 - test_accuracy","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GCN_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GCN_features-8_layers-2_lr-0.0001 - test_accuracy","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GCN_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"20","0.4699999988079071","0.4699999988079071","0.4699999988079071","0.43799999356269836","0.43799999356269836","0.43799999356269836","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.18199999630451202","0.18199999630451202","0.18199999630451202","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.29600000381469727","0.29600000381469727","0.29600000381469727","0.4090000092983246","0.4090000092983246","0.4090000092983246","0.24799999594688416","0.24799999594688416","0.24799999594688416","0.44600000977516174","0.44600000977516174","0.44600000977516174"
"21","0.3970000147819519","0.3970000147819519","0.3970000147819519","0.3879999816417694","0.3879999816417694","0.3879999816417694","0.4910000264644623","0.4910000264644623","0.4910000264644623","0.503000020980835","0.503000020980835","0.503000020980835","0.20000001788139343","0.20000001788139343","0.20000001788139343","0.5139999985694885","0.5139999985694885","0.5139999985694885","0.2939999997615814","0.2939999997615814","0.2939999997615814","0.4410000145435333","0.4410000145435333","0.4410000145435333","0.23199999332427979","0.23199999332427979","0.23199999332427979","0.5130000114440918","0.5130000114440918","0.5130000114440918"
"22","0.4690000116825104","0.4690000116825104","0.4690000116825104","0.453000009059906","0.453000009059906","0.453000009059906","0.5389999747276306","0.5389999747276306","0.5389999747276306","0.5360000133514404","0.5360000133514404","0.5360000133514404","0.18799999356269836","0.18799999356269836","0.18799999356269836","0.5329999923706055","0.5329999923706055","0.5329999923706055","0.335999995470047","0.335999995470047","0.335999995470047","0.41600003838539124","0.41600003838539124","0.41600003838539124","0.26899999380111694","0.26899999380111694","0.26899999380111694","0.45500001311302185","0.45500001311302185","0.45500001311302185"
"23","0.3960000276565552","0.3960000276565552","0.3960000276565552","0.4269999563694","0.4269999563694","0.4269999563694","0.49399998784065247","0.49399998784065247","0.49399998784065247","0.5080000162124634","0.5080000162124634","0.5080000162124634","0.23600000143051147","0.23600000143051147","0.23600000143051147","0.5120000243186951","0.5120000243186951","0.5120000243186951","0.33899998664855957","0.33899998664855957","0.33899998664855957","0.4399999976158142","0.4399999976158142","0.4399999976158142","0.23199999332427979","0.23199999332427979","0.23199999332427979","0.5090000033378601","0.5090000033378601","0.5090000033378601"
"24","0.46399998664855957","0.46399998664855957","0.46399998664855957","0.46799999475479126","0.46799999475479126","0.46799999475479126","0.5529999732971191","0.5529999732971191","0.5529999732971191","0.5410000085830688","0.5410000085830688","0.5410000085830688","0.20600001513957977","0.20600001513957977","0.20600001513957977","0.5350000262260437","0.5350000262260437","0.5350000262260437","0.3619999885559082","0.3619999885559082","0.3619999885559082","0.421999990940094","0.421999990940094","0.421999990940094","0.3089999854564667","0.3089999854564667","0.3089999854564667","0.45500001311302185","0.45500001311302185","0.45500001311302185"
"25","0.3930000066757202","0.3930000066757202","0.3930000066757202","0.4429999589920044","0.4429999589920044","0.4429999589920044","0.4989999830722809","0.4989999830722809","0.4989999830722809","0.5070000290870667","0.5070000290870667","0.5070000290870667","0.2680000066757202","0.2680000066757202","0.2680000066757202","0.5090000033378601","0.5090000033378601","0.5090000033378601","0.35600000619888306","0.35600000619888306","0.35600000619888306","0.4480000436306","0.4480000436306","0.4480000436306","0.2540000081062317","0.2540000081062317","0.2540000081062317","0.5059999823570251","0.5059999823570251","0.5059999823570251"
"26","0.45500001311302185","0.45500001311302185","0.45500001311302185","0.4830000102519989","0.4830000102519989","0.4830000102519989","0.5529999732971191","0.5529999732971191","0.5529999732971191","0.5450000166893005","0.5450000166893005","0.5450000166893005","0.2460000067949295","0.2460000067949295","0.2460000067949295","0.5360000133514404","0.5360000133514404","0.5360000133514404","0.38200002908706665","0.38200002908706665","0.38200002908706665","0.42500001192092896","0.42500001192092896","0.42500001192092896","0.33399999141693115","0.33399999141693115","0.33399999141693115","0.4650000035762787","0.4650000035762787","0.4650000035762787"
"27","0.3930000066757202","0.3930000066757202","0.3930000066757202","0.46399998664855957","0.46399998664855957","0.46399998664855957","0.5019999742507935","0.5019999742507935","0.5019999742507935","0.515999972820282","0.515999972820282","0.515999972820282","0.28999999165534973","0.28999999165534973","0.28999999165534973","0.5059999823570251","0.5059999823570251","0.5059999823570251","0.3709999918937683","0.3709999918937683","0.3709999918937683","0.44600000977516174","0.44600000977516174","0.44600000977516174","0.26899999380111694","0.26899999380111694","0.26899999380111694","0.5009999871253967","0.5009999871253967","0.5009999871253967"
"28","0.45100000500679016","0.45100000500679016","0.45100000500679016","0.48900002241134644","0.48900002241134644","0.48900002241134644","0.5529999732971191","0.5529999732971191","0.5529999732971191","0.5339999794960022","0.5339999794960022","0.5339999794960022","0.27000001072883606","0.27000001072883606","0.27000001072883606","0.5299999713897705","0.5299999713897705","0.5299999713897705","0.4099999964237213","0.4099999964237213","0.4099999964237213","0.4230000078678131","0.4230000078678131","0.4230000078678131","0.35600000619888306","0.35600000619888306","0.35600000619888306","0.4659999907016754","0.4659999907016754","0.4659999907016754"
"29","0.40000003576278687","0.40000003576278687","0.40000003576278687","0.4740000069141388","0.4740000069141388","0.4740000069141388","0.5130000114440918","0.5130000114440918","0.5130000114440918","0.5270000100135803","0.5270000100135803","0.5270000100135803","0.29899999499320984","0.29899999499320984","0.29899999499320984","0.49699997901916504","0.49699997901916504","0.49699997901916504","0.3879999816417694","0.3879999816417694","0.3879999816417694","0.453000009059906","0.453000009059906","0.453000009059906","0.2879999876022339","0.2879999876022339","0.2879999876022339","0.4989999830722809","0.4989999830722809","0.4989999830722809"
