"Step","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_30-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_20-agg_strategy-FedAvg - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-Krum - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedMedian - test_accuracy__MAX","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MIN","GAT-data_poisoning-client_poison_perc_10-agg_strategy-FedAvg - test_accuracy__MAX"
"29","0.20829999446868896","0.20829999446868896","0.20829999446868896","0.29410000145435333","0.29410000145435333","0.29410000145435333","0.31469999998807907","0.31469999998807907","0.31469999998807907","0.20069999918341636","0.20069999918341636","0.20069999918341636","0.2752999968826771","0.2752999968826771","0.2752999968826771","0.33579999804496763","0.33579999804496763","0.33579999804496763","0.23779999762773513","0.23779999762773513","0.23779999762773513","0.31490000188350675","0.31490000188350675","0.31490000188350675","0.33099999725818635","0.33099999725818635","0.33099999725818635"
"30","0.21769999712705612","0.21769999712705612","0.21769999712705612","0.29190000146627426","0.29190000146627426","0.29190000146627426","0.3117999941110611","0.3117999941110611","0.3117999941110611","0.20289999395608901","0.20289999395608901","0.20289999395608901","0.271299996227026","0.271299996227026","0.271299996227026","0.3326000049710274","0.3326000049710274","0.3326000049710274","0.2420999988913536","0.2420999988913536","0.2420999988913536","0.31269999742507937","0.31269999742507937","0.31269999742507937","0.32979999780654906","0.32979999780654906","0.32979999780654906"
"31","0.19300000071525575","0.19300000071525575","0.19300000071525575","0.29699999988079073","0.29699999988079073","0.29699999988079073","0.31949999630451204","0.31949999630451204","0.31949999630451204","0.17400000244379044","0.17400000244379044","0.17400000244379044","0.2673999972641468","0.2673999972641468","0.2673999972641468","0.3348000004887581","0.3348000004887581","0.3348000004887581","0.23669999837875366","0.23669999837875366","0.23669999837875366","0.3211000055074692","0.3211000055074692","0.3211000055074692","0.33140000253915786","0.33140000253915786","0.33140000253915786"
"32","0.20700000524520873","0.20700000524520873","0.20700000524520873","0.30600000023841856","0.30600000023841856","0.30600000023841856","0.33429999500513075","0.33429999500513075","0.33429999500513075","0.19220000505447388","0.19220000505447388","0.19220000505447388","0.26620000079274175","0.26620000079274175","0.26620000079274175","0.33180000334978105","0.33180000334978105","0.33180000334978105","0.24030000120401382","0.24030000120401382","0.24030000120401382","0.31730000525712965","0.31730000525712965","0.31730000525712965","0.335599996894598","0.335599996894598","0.335599996894598"
"33","0.17800000086426734","0.17800000086426734","0.17800000086426734","0.29309999495744704","0.29309999495744704","0.29309999495744704","0.33039999902248385","0.33039999902248385","0.33039999902248385","0.19850000143051147","0.19850000143051147","0.19850000143051147","0.27789999917149544","0.27789999917149544","0.27789999917149544","0.3360000029206276","0.3360000029206276","0.3360000029206276","0.16560000255703927","0.16560000255703927","0.16560000255703927","0.3175000011920929","0.3175000011920929","0.3175000011920929","0.33030000180006025","0.33030000180006025","0.33030000180006025"
"34","0.19250000193715094","0.19250000193715094","0.19250000193715094","0.2961999997496605","0.2961999997496605","0.2961999997496605","0.32049999982118604","0.32049999982118604","0.32049999982118604","0.2037999987602234","0.2037999987602234","0.2037999987602234","0.26400000378489497","0.26400000378489497","0.26400000378489497","0.33629999607801436","0.33629999607801436","0.33629999607801436","0.21950000077486037","0.21950000077486037","0.21950000077486037","0.3198999986052513","0.3198999986052513","0.3198999986052513","0.3324000000953674","0.3324000000953674","0.3324000000953674"
"35","0.22019999772310256","0.22019999772310256","0.22019999772310256","0.30780000388622286","0.30780000388622286","0.30780000388622286","0.3361999988555908","0.3361999988555908","0.3361999988555908","0.19690000116825104","0.19690000116825104","0.19690000116825104","0.2736999988555908","0.2736999988555908","0.2736999988555908","0.3351000025868416","0.3351000025868416","0.3351000025868416","0.24700000286102294","0.24700000286102294","0.24700000286102294","0.3197000026702881","0.3197000026702881","0.3197000026702881","0.33469998762011527","0.33469998762011527","0.33469998762011527"
"36","0.22609999924898147","0.22609999924898147","0.22609999924898147","0.2957000002264977","0.2957000002264977","0.2957000002264977","0.32769999355077745","0.32769999355077745","0.32769999355077745","0.19059999994933605","0.19059999994933605","0.19059999994933605","0.2822000034153461","0.2822000034153461","0.2822000034153461","0.3428999960422516","0.3428999960422516","0.3428999960422516","0.184100005030632","0.184100005030632","0.184100005030632","0.32300000488758085","0.32300000488758085","0.32300000488758085","0.33230001106858253","0.33230001106858253","0.33230001106858253"
"37","0.2362999990582466","0.2362999990582466","0.2362999990582466","0.28920000344514846","0.28920000344514846","0.28920000344514846","0.3247999995946884","0.3247999995946884","0.3247999995946884","0.17700000032782554","0.17700000032782554","0.17700000032782554","0.2758000008761883","0.2758000008761883","0.2758000008761883","0.33840000480413435","0.33840000480413435","0.33840000480413435","0.20339999943971634","0.20339999943971634","0.20339999943971634","0.318699999153614","0.318699999153614","0.318699999153614","0.3383000001311302","0.3383000001311302","0.3383000001311302"
"38","0.21239999681711197","0.21239999681711197","0.21239999681711197","0.2983999982476234","0.2983999982476234","0.2983999982476234","0.308699993789196","0.308699993789196","0.308699993789196","0.18650000169873238","0.18650000169873238","0.18650000169873238","0.2785000018775463","0.2785000018775463","0.2785000018775463","0.33929999768733976","0.33929999768733976","0.33929999768733976","0.21509999781847","0.21509999781847","0.21509999781847","0.31400000005960466","0.31400000005960466","0.31400000005960466","0.3350000038743019","0.3350000038743019","0.3350000038743019"
"39","0.18720000386238098","0.18720000386238098","0.18720000386238098","0.3093000054359436","0.3093000054359436","0.3093000054359436","0.3214999958872795","0.3214999958872795","0.3214999958872795","0.18370000049471855","0.18370000049471855","0.18370000049471855","0.27389999851584435","0.27389999851584435","0.27389999851584435","0.3419000133872032","0.3419000133872032","0.3419000133872032","0.21949999704957007","0.21949999704957007","0.21949999704957007","0.3151000037789345","0.3151000037789345","0.3151000037789345","0.33689999878406524","0.33689999878406524","0.33689999878406524"
"40","0.2231000080704689","0.2231000080704689","0.2231000080704689","0.29410000145435333","0.29410000145435333","0.29410000145435333","0.31829999685287474","0.31829999685287474","0.31829999685287474","0.19559999853372573","0.19559999853372573","0.19559999853372573","0.29519999250769613","0.29519999250769613","0.29519999250769613","0.3313999965786934","0.3313999965786934","0.3313999965786934","0.2313999980688095","0.2313999980688095","0.2313999980688095","0.3271999955177307","0.3271999955177307","0.3271999955177307","0.33249999657273294","0.33249999657273294","0.33249999657273294"
"41","0.24149999916553497","0.24149999916553497","0.24149999916553497","0.3091000020503998","0.3091000020503998","0.3091000020503998","0.32900000661611556","0.32900000661611556","0.32900000661611556","0.1709999993443489","0.1709999993443489","0.1709999993443489","0.2823999971151352","0.2823999971151352","0.2823999971151352","0.3341000020503998","0.3341000020503998","0.3341000020503998","0.19600000381469726","0.19600000381469726","0.19600000381469726","0.3139999985694885","0.3139999985694885","0.3139999985694885","0.3330000005662441","0.3330000005662441","0.3330000005662441"
