"Step","GAT_features-16_layers-2_lr-0.0001 - test_accuracy","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.001 - test_accuracy","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-2_lr-0.01 - test_accuracy","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-2_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.0001 - test_accuracy","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.001 - test_accuracy","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-1_lr-0.01 - test_accuracy","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-1_lr-0.01 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.0001 - test_accuracy","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.0001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.001 - test_accuracy","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.001 - test_accuracy__MAX","GAT_features-16_layers-0_lr-0.01 - test_accuracy","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MIN","GAT_features-16_layers-0_lr-0.01 - test_accuracy__MAX","GAT_features-8_layers-2_lr-0.0001 - test_accuracy","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MIN","GAT_features-8_layers-2_lr-0.0001 - test_accuracy__MAX"
"20","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.8170000314712524","0.8170000314712524","0.8170000314712524","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7450000047683716","0.7450000047683716","0.7450000047683716"
"21","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7730000019073486","0.7730000019073486","0.7730000019073486"
"22","0.8140000104904175","0.8140000104904175","0.8140000104904175","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.8240000605583191","0.8240000605583191","0.8240000605583191","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.781000018119812","0.781000018119812","0.781000018119812","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.777999997138977","0.777999997138977","0.777999997138977","0.7759999632835388","0.7759999632835388","0.7759999632835388"
"23","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7620000243186951","0.7620000243186951","0.7620000243186951","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7699999809265137","0.7699999809265137","0.7699999809265137"
"24","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.8259999752044678","0.8259999752044678","0.8259999752044678","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7730000019073486","0.7730000019073486","0.7730000019073486","0.7640000581741333","0.7640000581741333","0.7640000581741333"
"25","0.8240000605583191","0.8240000605583191","0.8240000605583191","0.7710000872612","0.7710000872612","0.7710000872612","0.8149999976158142","0.8149999976158142","0.8149999976158142","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.8009999394416809","0.8009999394416809","0.8009999394416809","0.777999997138977","0.777999997138977","0.777999997138977","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.7679999470710754","0.7679999470710754","0.7679999470710754","0.781000018119812","0.781000018119812","0.781000018119812","0.7640000581741333","0.7640000581741333","0.7640000581741333"
"26","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.8230000138282776","0.8230000138282776","0.8230000138282776","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.796000063419342","0.796000063419342","0.796000063419342","0.7770000100135803","0.7770000100135803","0.7770000100135803","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7710000872612","0.7710000872612","0.7710000872612"
"27","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.8249999284744263","0.8249999284744263","0.8249999284744263","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7649999260902405","0.7649999260902405","0.7649999260902405","0.7719999551773071","0.7719999551773071","0.7719999551773071","0.7739999890327454","0.7739999890327454","0.7739999890327454"
"28","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.8170000314712524","0.8170000314712524","0.8170000314712524","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.796000063419342","0.796000063419342","0.796000063419342","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.7990000247955322","0.7990000247955322","0.7990000247955322","0.7719999551773071","0.7719999551773071","0.7719999551773071","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7540000081062317","0.7540000081062317","0.7540000081062317"
"29","0.8159999847412109","0.8159999847412109","0.8159999847412109","0.8069999814033508","0.8069999814033508","0.8069999814033508","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.8059999942779541","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.781000018119812","0.781000018119812","0.781000018119812","0.7719999551773071","0.7719999551773071","0.7719999551773071"
"30","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7609999179840088","0.7609999179840088","0.7609999179840088","0.8339999914169312","0.8339999914169312","0.8339999914169312","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.7679999470710754","0.7679999470710754","0.7679999470710754"
"31","0.8210000395774841","0.8210000395774841","0.8210000395774841","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.8149999976158142","0.8149999976158142","0.8149999976158142","0.777999997138977","0.777999997138977","0.777999997138977","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.8119999766349792","0.8119999766349792","0.8119999766349792","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7730000019073486","0.7730000019073486","0.7730000019073486"
"32","0.8180000185966492","0.8180000185966492","0.8180000185966492","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.8379999995231628","0.8379999995231628","0.8379999995231628","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.8039999604225159","0.8039999604225159","0.8039999604225159","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.796000063419342","0.796000063419342","0.796000063419342","0.7770000100135803","0.7770000100135803","0.7770000100135803"
"33","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7860000133514404","0.7860000133514404","0.7860000133514404","0.8329999446868896","0.8329999446868896","0.8329999446868896","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7880000472068787","0.7880000472068787","0.7880000472068787","0.8050000071525574","0.8050000071525574","0.8050000071525574","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.7789999842643738","0.7789999842643738","0.7789999842643738"
"34","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.8199999928474426","0.8199999928474426","0.8199999928474426","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.7749999761581421","0.7749999761581421","0.7749999761581421"
"35","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.8249999284744263","0.8249999284744263","0.8249999284744263","0.7889999151229858","0.7889999151229858","0.7889999151229858","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.8270000219345093","0.8270000219345093","0.8270000219345093","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7640000581741333","0.7640000581741333","0.7640000581741333","0.7929999232292175","0.7929999232292175","0.7929999232292175","0.7630000114440918","0.7630000114440918","0.7630000114440918"
"36","0.8079999685287476","0.8079999685287476","0.8079999685287476","0.7950000166893005","0.7950000166893005","0.7950000166893005","0.8299999833106995","0.8299999833106995","0.8299999833106995","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.8140000104904175","0.8140000104904175","0.8140000104904175","0.7969999313354492","0.7969999313354492","0.7969999313354492","0.7749999761581421","0.7749999761581421","0.7749999761581421","0.7900000214576721","0.7900000214576721","0.7900000214576721","0.7640000581741333","0.7640000581741333","0.7640000581741333"
"37","0.8249999284744263","0.8249999284744263","0.8249999284744263","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.7920000553131104","0.7920000553131104","0.7920000553131104","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.8019999861717224","0.8019999861717224","0.8019999861717224","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.7870000004768372","0.7870000004768372","0.7870000004768372","0.7609999179840088","0.7609999179840088","0.7609999179840088"
"38","0.8220000267028809","0.8220000267028809","0.8220000267028809","0.7829999923706055","0.7829999923706055","0.7829999923706055","0.8280000686645508","0.8280000686645508","0.8280000686645508","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.8240000605583191","0.8240000605583191","0.8240000605583191","0.8100000023841858","0.8100000023841858","0.8100000023841858","0.7689999938011169","0.7689999938011169","0.7689999938011169","0.7789999842643738","0.7789999842643738","0.7789999842643738","0.7649999260902405","0.7649999260902405","0.7649999260902405"
"39","0.8130000233650208","0.8130000233650208","0.8130000233650208","0.7850000262260437","0.7850000262260437","0.7850000262260437","0.8329999446868896","0.8329999446868896","0.8329999446868896","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.7940000295639038","0.7940000295639038","0.7940000295639038","0.8000000715255737","0.8000000715255737","0.8000000715255737","0.8029999732971191","0.8029999732971191","0.8029999732971191","0.7839999794960022","0.7839999794960022","0.7839999794960022","0.7799999713897705","0.7799999713897705","0.7799999713897705","0.7710000872612","0.7710000872612","0.7710000872612"
"40","0.8240000605583191","0.8240000605583191","0.8240000605583191","0.8090000152587891","0.8090000152587891","0.8090000152587891","0.8190000057220459","0.8190000057220459","0.8190000057220459","0.7910000085830688","0.7910000085830688","0.7910000085830688","0.7979999780654907","0.7979999780654907","0.7979999780654907","0.8109999895095825","0.8109999895095825","0.8109999895095825","0.8140000104904175","0.8140000104904175","0.8140000104904175","0.796000063419342","0.796000063419342","0.796000063419342","0.7820000052452087","0.7820000052452087","0.7820000052452087","0.7719999551773071","0.7719999551773071","0.7719999551773071"
