"Step","GAT-dataset-PubMed - test_accuracy","GAT-dataset-PubMed - test_accuracy__MIN","GAT-dataset-PubMed - test_accuracy__MAX","GAT-dataset-CiteSeer - test_accuracy","GAT-dataset-CiteSeer - test_accuracy__MIN","GAT-dataset-CiteSeer - test_accuracy__MAX","GAT-dataset-Cora - test_accuracy","GAT-dataset-Cora - test_accuracy__MIN","GAT-dataset-Cora - test_accuracy__MAX"
"49","0.7490000128746033","0.7490000128746033","0.7490000128746033","0.6510000824928284","0.6510000824928284","0.6510000824928284","0.8029999732971191","0.8029999732971191","0.8029999732971191"
"50","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8259999752044678","0.8259999752044678","0.8259999752044678"
"51","0.753000020980835","0.753000020980835","0.753000020980835","0.652999997138977","0.652999997138977","0.652999997138977","0.8140000104904175","0.8140000104904175","0.8140000104904175"
"52","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.6450000405311584","0.6450000405311584","0.6450000405311584","0.8369999527931213","0.8369999527931213","0.8369999527931213"
"53","0.7490000128746033","0.7490000128746033","0.7490000128746033","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.8369999527931213","0.8369999527931213","0.8369999527931213"
"54","0.7409999966621399","0.7409999966621399","0.7409999966621399","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"55","0.7419999837875366","0.7419999837875366","0.7419999837875366","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8109999895095825","0.8109999895095825","0.8109999895095825"
"56","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.6589999794960022","0.6589999794960022","0.6589999794960022","0.8090000152587891","0.8090000152587891","0.8090000152587891"
"57","0.753000020980835","0.753000020980835","0.753000020980835","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8240000605583191","0.8240000605583191","0.8240000605583191"
"58","0.7409999966621399","0.7409999966621399","0.7409999966621399","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"59","0.753000020980835","0.753000020980835","0.753000020980835","0.6610000133514404","0.6610000133514404","0.6610000133514404","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"60","0.7519999742507935","0.7519999742507935","0.7519999742507935","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.8159999847412109","0.8159999847412109","0.8159999847412109"
"61","0.753000020980835","0.753000020980835","0.753000020980835","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.8069999814033508","0.8069999814033508","0.8069999814033508"
"62","0.7649999856948853","0.7649999856948853","0.7649999856948853","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8230000138282776","0.8230000138282776","0.8230000138282776"
"63","0.7559999823570251","0.7559999823570251","0.7559999823570251","0.6489999890327454","0.6489999890327454","0.6489999890327454","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"64","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"65","0.7549999952316284","0.7549999952316284","0.7549999952316284","0.6570000052452087","0.6570000052452087","0.6570000052452087","0.8190000057220459","0.8190000057220459","0.8190000057220459"
"66","0.7630000114440918","0.7630000114440918","0.7630000114440918","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"67","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8339999914169312","0.8339999914169312","0.8339999914169312"
"68","0.7670000195503235","0.7670000195503235","0.7670000195503235","0.6710000038146973","0.6710000038146973","0.6710000038146973","0.8360000848770142","0.8360000848770142","0.8360000848770142"
"69","0.753000020980835","0.753000020980835","0.753000020980835","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.8210000395774841","0.8210000395774841","0.8210000395774841"
"70","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.6669999957084656","0.6669999957084656","0.6669999957084656","0.8220000267028809","0.8220000267028809","0.8220000267028809"
"71","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.675000011920929","0.675000011920929","0.675000011920929","0.8180000185966492","0.8180000185966492","0.8180000185966492"
"72","0.7649999856948853","0.7649999856948853","0.7649999856948853","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.8230000138282776","0.8230000138282776","0.8230000138282776"
"73","0.7609999775886536","0.7609999775886536","0.7609999775886536","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8159999847412109","0.8159999847412109","0.8159999847412109"
"74","0.75","0.75","0.75","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8050000071525574","0.8050000071525574","0.8050000071525574"
"75","0.7699999809265137","0.7699999809265137","0.7699999809265137","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.7969999313354492","0.7969999313354492","0.7969999313354492"
"76","0.7570000290870667","0.7570000290870667","0.7570000290870667","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8130000233650208","0.8130000233650208","0.8130000233650208"
"77","0.746999979019165","0.746999979019165","0.746999979019165","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"78","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.675000011920929","0.675000011920929","0.675000011920929","0.8180000185966492","0.8180000185966492","0.8180000185966492"
"79","0.765999972820282","0.765999972820282","0.765999972820282","0.675000011920929","0.675000011920929","0.675000011920929","0.8119999766349792","0.8119999766349792","0.8119999766349792"
"80","0.765999972820282","0.765999972820282","0.765999972820282","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.8159999847412109","0.8159999847412109","0.8159999847412109"
"81","0.7620000243186951","0.7620000243186951","0.7620000243186951","0.6779999136924744","0.6779999136924744","0.6779999136924744","0.8130000233650208","0.8130000233650208","0.8130000233650208"
"82","0.7620000243186951","0.7620000243186951","0.7620000243186951","0.671999990940094","0.671999990940094","0.671999990940094","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"83","0.7680000066757202","0.7680000066757202","0.7680000066757202","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8270000219345093","0.8270000219345093","0.8270000219345093"
"84","0.7609999775886536","0.7609999775886536","0.7609999775886536","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.828999936580658","0.828999936580658","0.828999936580658"
"85","0.7590000033378601","0.7590000033378601","0.7590000033378601","0.6650000214576721","0.6650000214576721","0.6650000214576721","0.8249999284744263","0.8249999284744263","0.8249999284744263"
"86","0.765999972820282","0.765999972820282","0.765999972820282","0.6499999165534973","0.6499999165534973","0.6499999165534973","0.8069999814033508","0.8069999814033508","0.8069999814033508"
"87","0.7570000290870667","0.7570000290870667","0.7570000290870667","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8100000023841858","0.8100000023841858","0.8100000023841858"
"88","0.7570000290870667","0.7570000290870667","0.7570000290870667","0.6600000262260437","0.6600000262260437","0.6600000262260437","0.8190000057220459","0.8190000057220459","0.8190000057220459"
"89","0.7570000290870667","0.7570000290870667","0.7570000290870667","0.6629999876022339","0.6629999876022339","0.6629999876022339","0.8190000057220459","0.8190000057220459","0.8190000057220459"
"90","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.828999936580658","0.828999936580658","0.828999936580658"
"91","0.7580000162124634","0.7580000162124634","0.7580000162124634","0.6660000085830688","0.6660000085830688","0.6660000085830688","0.8270000219345093","0.8270000219345093","0.8270000219345093"
"92","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.8259999752044678","0.8259999752044678","0.8259999752044678"
"93","0.7599999904632568","0.7599999904632568","0.7599999904632568","0.671999990940094","0.671999990940094","0.671999990940094","0.8199999928474426","0.8199999928474426","0.8199999928474426"
"94","0.7639999985694885","0.7639999985694885","0.7639999985694885","0.6690000295639038","0.6690000295639038","0.6690000295639038","0.8159999847412109","0.8159999847412109","0.8159999847412109"
"95","0.7540000081062317","0.7540000081062317","0.7540000081062317","0.6769999861717224","0.6769999861717224","0.6769999861717224","0.8230000138282776","0.8230000138282776","0.8230000138282776"
"96","0.7639999985694885","0.7639999985694885","0.7639999985694885","0.6840000152587891","0.6840000152587891","0.6840000152587891","0.8270000219345093","0.8270000219345093","0.8270000219345093"
"97","0.7609999775886536","0.7609999775886536","0.7609999775886536","0.6759999990463257","0.6759999990463257","0.6759999990463257","0.8130000233650208","0.8130000233650208","0.8130000233650208"
"98","0.7649999856948853","0.7649999856948853","0.7649999856948853","0.6779999136924744","0.6779999136924744","0.6779999136924744","0.8180000185966492","0.8180000185966492","0.8180000185966492"
"99","0.7680000066757202","0.7680000066757202","0.7680000066757202","0.6779999136924744","0.6779999136924744","0.6779999136924744","0.8259999752044678","0.8259999752044678","0.8259999752044678"
